Персонаж,Довжина,Голосні (V),Приголосні (C),З них дзвінкі,З них глухі,З них сонорні,З них тверді,З них м'які,V/C Відношення,Частка сонорних,Частка глухих
Мотря,5,2,3,0,1,2,2,1,0.67,0.67,0.33
Лаврін,6,2,4,0,0,4,3,1,0.5,1.0,0.0
Кайдашиха,9,4,5,1,3,1,4,1,0.8,0.2,0.6
Карпо,5,2,3,0,2,1,3,0,0.67,0.33,0.67
Кайдаш,6,2,4,1,2,1,3,1,0.5,0.25,0.5
Мелашка,7,3,4,0,2,2,4,0,0.75,0.5,0.5
Палажка,7,3,4,1,2,1,4,0,0.75,0.25,0.5
Балаш,5,2,3,1,1,1,3,0,0.67,0.33,0.33
Параска,7,3,4,0,3,1,4,0,0.75,0.25,0.75
Довбиш,6,2,4,2,1,1,4,0,0.5,0.25,0.25
